kabupaten,_0_5,_6_12,_13_17,_18_24,_25_44,_45_59,_60_plus,total_per_kabupaten
KOTA BOGOR,5,15,22,14,48,12,0,116
KOTA DEPOK,23,83,88,36,124,26,3,383
KOTA BANJAR,4,11,31,6,13,2,0,67
KOTA BEKASI,19,56,43,18,42,18,3,199
KOTA CIMAHI,1,20,18,6,22,5,0,72
KOTA BANDUNG,43,108,112,94,279,72,9,717
KOTA CIREBON,4,6,19,8,33,5,1,76
KOTA SUKABUMI,5,16,37,9,33,11,0,111
KABUPATEN BOGOR,1,10,15,7,21,7,0,61
KABUPATEN GARUT,1,12,28,5,13,3,0,62
KABUPATEN BEKASI,25,56,106,43,120,20,2,372
KABUPATEN CIAMIS,5,10,33,9,15,4,0,76
KABUPATEN SUBANG,3,14,39,20,25,3,0,104
KOTA TASIKMALAYA,4,7,19,5,15,3,0,53
KABUPATEN BANDUNG,48,110,141,59,84,34,1,477
KABUPATEN CIANJUR,0,4,9,0,3,1,0,17
KABUPATEN CIREBON,14,32,64,36,75,16,3,240
KABUPATEN KARAWANG,3,13,17,14,49,6,0,102
KABUPATEN KUNINGAN,1,10,11,9,14,3,0,48
KABUPATEN SUKABUMI,28,118,167,43,136,27,1,520
KABUPATEN SUMEDANG,5,19,33,7,19,11,0,94
KABUPATEN INDRAMAYU,6,19,31,15,28,4,0,103
KABUPATEN MAJALENGKA,3,14,48,7,7,2,0,81
KABUPATEN PURWAKARTA,9,10,28,11,41,10,2,111
KABUPATEN PANGANDARAN,6,53,29,4,4,6,1,103
KABUPATEN TASIKMALAYA,21,62,83,30,16,1,0,213
KABUPATEN BANDUNG BARAT,11,19,47,12,22,1,0,112